-- See https://github.com/microsoft/terminal/issues/17342.

-- Some unqualified emoji forms get treated as 1 cell wide because that's how
-- they were handled by the earliest terminal programs with emoji support.

-- Fully-qualified forms are treated as 2 cells wide.

-- Clink attempts to parse skin tone selectors, but does not yet attempt to
-- parse other kinds of selectors/etc (such as gender).

; Omit skin tone selectors so their widths are 0.
270C 1F3FC                                             ; fully-qualified     # ✌🏼 E1.0 victory hand: medium-light skin tone
270C 1F3FD                                             ; fully-qualified     # ✌🏽 E1.0 victory hand: medium skin tone
270C 1F3FE                                             ; fully-qualified     # ✌🏾 E1.0 victory hand: medium-dark skin tone
270C 1F3FF                                             ; fully-qualified     # ✌🏿 E1.0 victory hand: dark skin tone

261D FE0F                                              ; fully-qualified     # ☝️ E0.6 index pointing up
261D                                                   ; unqualified         # ☝ E0.6 index pointing up
261D 1F3FB                                             ; fully-qualified     # ☝🏻 E1.0 index pointing up: light skin tone
261D 1F3FC                                             ; fully-qualified     # ☝🏼 E1.0 index pointing up: medium-light skin tone
261D 1F3FD                                             ; fully-qualified     # ☝🏽 E1.0 index pointing up: medium skin tone
261D 1F3FE                                             ; fully-qualified     # ☝🏾 E1.0 index pointing up: medium-dark skin tone
261D 1F3FF                                             ; fully-qualified     # ☝🏿 E1.0 index pointing up: dark skin tone

270D FE0F                                              ; fully-qualified     # ✍️ E0.7 writing hand
270D                                                   ; unqualified         # ✍ E0.7 writing hand
270D 1F3FB                                             ; fully-qualified     # ✍🏻 E1.0 writing hand: light skin tone
270D 1F3FC                                             ; fully-qualified     # ✍🏼 E1.0 writing hand: medium-light skin tone
270D 1F3FD                                             ; fully-qualified     # ✍🏽 E1.0 writing hand: medium skin tone
270D 1F3FE                                             ; fully-qualified     # ✍🏾 E1.0 writing hand: medium-dark skin tone
270D 1F3FF                                             ; fully-qualified     # ✍🏿 E1.0 writing hand: dark skin tone

1F441 FE0F                                             ; fully-qualified     # 👁️ E0.7 eye
1F441                                                  ; unqualified         # 👁 E0.7 eye

1F575 FE0F                                             ; fully-qualified     # 🕵️ E0.7 detective
1F575                                                  ; unqualified         # 🕵 E0.7 detective
1F575 1F3FB                                            ; fully-qualified     # 🕵🏻 E2.0 detective: light skin tone
1F575 1F3FC                                            ; fully-qualified     # 🕵🏼 E2.0 detective: medium-light skin tone
1F575 1F3FD                                            ; fully-qualified     # 🕵🏽 E2.0 detective: medium skin tone
1F575 1F3FE                                            ; fully-qualified     # 🕵🏾 E2.0 detective: medium-dark skin tone
1F575 1F3FF                                            ; fully-qualified     # 🕵🏿 E2.0 detective: dark skin tone
1F575 FE0F 200D 2642 FE0F                              ; fully-qualified     # 🕵️‍♂️ E4.0 man detective
1F575 200D 2642 FE0F                                   ; unqualified         # 🕵‍♂️ E4.0 man detective
1F575 FE0F 200D 2642                                   ; minimally-qualified # 🕵️‍♂ E4.0 man detective
1F575 200D 2642                                        ; unqualified         # 🕵‍♂ E4.0 man detective
1F575 1F3FB 200D 2642 FE0F                             ; fully-qualified     # 🕵🏻‍♂️ E4.0 man detective: light skin tone
1F575 1F3FB 200D 2642                                  ; minimally-qualified # 🕵🏻‍♂ E4.0 man detective: light skin tone
1F575 1F3FC 200D 2642 FE0F                             ; fully-qualified     # 🕵🏼‍♂️ E4.0 man detective: medium-light skin tone
1F575 1F3FC 200D 2642                                  ; minimally-qualified # 🕵🏼‍♂ E4.0 man detective: medium-light skin tone
1F575 1F3FD 200D 2642 FE0F                             ; fully-qualified     # 🕵🏽‍♂️ E4.0 man detective: medium skin tone
1F575 1F3FD 200D 2642                                  ; minimally-qualified # 🕵🏽‍♂ E4.0 man detective: medium skin tone
1F575 1F3FE 200D 2642 FE0F                             ; fully-qualified     # 🕵🏾‍♂️ E4.0 man detective: medium-dark skin tone
1F575 1F3FE 200D 2642                                  ; minimally-qualified # 🕵🏾‍♂ E4.0 man detective: medium-dark skin tone
1F575 1F3FF 200D 2642 FE0F                             ; fully-qualified     # 🕵🏿‍♂️ E4.0 man detective: dark skin tone
1F575 1F3FF 200D 2642                                  ; minimally-qualified # 🕵🏿‍♂ E4.0 man detective: dark skin tone
1F575 FE0F 200D 2640 FE0F                              ; fully-qualified     # 🕵️‍♀️ E4.0 woman detective
1F575 200D 2640 FE0F                                   ; unqualified         # 🕵‍♀️ E4.0 woman detective
1F575 FE0F 200D 2640                                   ; minimally-qualified # 🕵️‍♀ E4.0 woman detective
1F575 200D 2640                                        ; unqualified         # 🕵‍♀ E4.0 woman detective
1F575 1F3FB 200D 2640 FE0F                             ; fully-qualified     # 🕵🏻‍♀️ E4.0 woman detective: light skin tone
1F575 1F3FB 200D 2640                                  ; minimally-qualified # 🕵🏻‍♀ E4.0 woman detective: light skin tone
1F575 1F3FC 200D 2640 FE0F                             ; fully-qualified     # 🕵🏼‍♀️ E4.0 woman detective: medium-light skin tone
1F575 1F3FC 200D 2640                                  ; minimally-qualified # 🕵🏼‍♀ E4.0 woman detective: medium-light skin tone
1F575 1F3FD 200D 2640 FE0F                             ; fully-qualified     # 🕵🏽‍♀️ E4.0 woman detective: medium skin tone
1F575 1F3FD 200D 2640                                  ; minimally-qualified # 🕵🏽‍♀ E4.0 woman detective: medium skin tone
1F575 1F3FE 200D 2640 FE0F                             ; fully-qualified     # 🕵🏾‍♀️ E4.0 woman detective: medium-dark skin tone
1F575 1F3FE 200D 2640                                  ; minimally-qualified # 🕵🏾‍♀ E4.0 woman detective: medium-dark skin tone
1F575 1F3FF 200D 2640 FE0F                             ; fully-qualified     # 🕵🏿‍♀️ E4.0 woman detective: dark skin tone
1F575 1F3FF 200D 2640                                  ; minimally-qualified # 🕵🏿‍♀ E4.0 woman detective: dark skin tone
1F574 FE0F                                             ; fully-qualified     # 🕴️ E0.7 person in suit levitating
1F574                                                  ; unqualified         # 🕴 E0.7 person in suit levitating
1F574 1F3FB                                            ; fully-qualified     # 🕴🏻 E4.0 person in suit levitating: light skin tone
1F574 1F3FC                                            ; fully-qualified     # 🕴🏼 E4.0 person in suit levitating: medium-light skin tone
1F574 1F3FD                                            ; fully-qualified     # 🕴🏽 E4.0 person in suit levitating: medium skin tone
1F574 1F3FE                                            ; fully-qualified     # 🕴🏾 E4.0 person in suit levitating: medium-dark skin tone
1F574 1F3FF                                            ; fully-qualified     # 🕴🏿 E4.0 person in suit levitating: dark skin tone

26F7 FE0F                                              ; fully-qualified     # ⛷️ E0.7 skier
26F7                                                   ; unqualified         # ⛷ E0.7 skier
1F3CC FE0F                                             ; fully-qualified     # 🏌️ E0.7 person golfing
1F3CC                                                  ; unqualified         # 🏌 E0.7 person golfing
1F3CC 1F3FB                                            ; fully-qualified     # 🏌🏻 E4.0 person golfing: light skin tone
1F3CC 1F3FC                                            ; fully-qualified     # 🏌🏼 E4.0 person golfing: medium-light skin tone
1F3CC 1F3FD                                            ; fully-qualified     # 🏌🏽 E4.0 person golfing: medium skin tone
1F3CC 1F3FE                                            ; fully-qualified     # 🏌🏾 E4.0 person golfing: medium-dark skin tone
1F3CC 1F3FF                                            ; fully-qualified     # 🏌🏿 E4.0 person golfing: dark skin tone
1F3CC FE0F 200D 2642 FE0F                              ; fully-qualified     # 🏌️‍♂️ E4.0 man golfing
1F3CC 200D 2642 FE0F                                   ; unqualified         # 🏌‍♂️ E4.0 man golfing
1F3CC FE0F 200D 2642                                   ; minimally-qualified # 🏌️‍♂ E4.0 man golfing
1F3CC 200D 2642                                        ; unqualified         # 🏌‍♂ E4.0 man golfing
1F3CC 1F3FB 200D 2642 FE0F                             ; fully-qualified     # 🏌🏻‍♂️ E4.0 man golfing: light skin tone
1F3CC 1F3FB 200D 2642                                  ; minimally-qualified # 🏌🏻‍♂ E4.0 man golfing: light skin tone
1F3CC 1F3FC 200D 2642 FE0F                             ; fully-qualified     # 🏌🏼‍♂️ E4.0 man golfing: medium-light skin tone
1F3CC 1F3FC 200D 2642                                  ; minimally-qualified # 🏌🏼‍♂ E4.0 man golfing: medium-light skin tone
1F3CC 1F3FD 200D 2642 FE0F                             ; fully-qualified     # 🏌🏽‍♂️ E4.0 man golfing: medium skin tone
1F3CC 1F3FD 200D 2642                                  ; minimally-qualified # 🏌🏽‍♂ E4.0 man golfing: medium skin tone
1F3CC 1F3FE 200D 2642 FE0F                             ; fully-qualified     # 🏌🏾‍♂️ E4.0 man golfing: medium-dark skin tone
1F3CC 1F3FE 200D 2642                                  ; minimally-qualified # 🏌🏾‍♂ E4.0 man golfing: medium-dark skin tone
1F3CC 1F3FF 200D 2642 FE0F                             ; fully-qualified     # 🏌🏿‍♂️ E4.0 man golfing: dark skin tone
1F3CC 1F3FF 200D 2642                                  ; minimally-qualified # 🏌🏿‍♂ E4.0 man golfing: dark skin tone
1F3CC FE0F 200D 2640 FE0F                              ; fully-qualified     # 🏌️‍♀️ E4.0 woman golfing
1F3CC 200D 2640 FE0F                                   ; unqualified         # 🏌‍♀️ E4.0 woman golfing
1F3CC FE0F 200D 2640                                   ; minimally-qualified # 🏌️‍♀ E4.0 woman golfing
1F3CC 200D 2640                                        ; unqualified         # 🏌‍♀ E4.0 woman golfing
1F3CC 1F3FB 200D 2640 FE0F                             ; fully-qualified     # 🏌🏻‍♀️ E4.0 woman golfing: light skin tone
1F3CC 1F3FB 200D 2640                                  ; minimally-qualified # 🏌🏻‍♀ E4.0 woman golfing: light skin tone
1F3CC 1F3FC 200D 2640 FE0F                             ; fully-qualified     # 🏌🏼‍♀️ E4.0 woman golfing: medium-light skin tone
1F3CC 1F3FC 200D 2640                                  ; minimally-qualified # 🏌🏼‍♀ E4.0 woman golfing: medium-light skin tone
1F3CC 1F3FD 200D 2640 FE0F                             ; fully-qualified     # 🏌🏽‍♀️ E4.0 woman golfing: medium skin tone
1F3CC 1F3FD 200D 2640                                  ; minimally-qualified # 🏌🏽‍♀ E4.0 woman golfing: medium skin tone
1F3CC 1F3FE 200D 2640 FE0F                             ; fully-qualified     # 🏌🏾‍♀️ E4.0 woman golfing: medium-dark skin tone
1F3CC 1F3FE 200D 2640                                  ; minimally-qualified # 🏌🏾‍♀ E4.0 woman golfing: medium-dark skin tone
1F3CC 1F3FF 200D 2640 FE0F                             ; fully-qualified     # 🏌🏿‍♀️ E4.0 woman golfing: dark skin tone
1F3CC 1F3FF 200D 2640                                  ; minimally-qualified # 🏌🏿‍♀ E4.0 woman golfing: dark skin tone
26F9 FE0F                                              ; fully-qualified     # ⛹️ E0.7 person bouncing ball
26F9                                                   ; unqualified         # ⛹ E0.7 person bouncing ball
26F9 1F3FB                                             ; fully-qualified     # ⛹🏻 E2.0 person bouncing ball: light skin tone
26F9 1F3FC                                             ; fully-qualified     # ⛹🏼 E2.0 person bouncing ball: medium-light skin tone
26F9 1F3FD                                             ; fully-qualified     # ⛹🏽 E2.0 person bouncing ball: medium skin tone
26F9 1F3FE                                             ; fully-qualified     # ⛹🏾 E2.0 person bouncing ball: medium-dark skin tone
26F9 1F3FF                                             ; fully-qualified     # ⛹🏿 E2.0 person bouncing ball: dark skin tone
26F9 FE0F 200D 2642 FE0F                               ; fully-qualified     # ⛹️‍♂️ E4.0 man bouncing ball
26F9 200D 2642 FE0F                                    ; unqualified         # ⛹‍♂️ E4.0 man bouncing ball
26F9 FE0F 200D 2642                                    ; minimally-qualified # ⛹️‍♂ E4.0 man bouncing ball
26F9 200D 2642                                         ; unqualified         # ⛹‍♂ E4.0 man bouncing ball
26F9 1F3FB 200D 2642 FE0F                              ; fully-qualified     # ⛹🏻‍♂️ E4.0 man bouncing ball: light skin tone
26F9 1F3FB 200D 2642                                   ; minimally-qualified # ⛹🏻‍♂ E4.0 man bouncing ball: light skin tone
26F9 1F3FC 200D 2642 FE0F                              ; fully-qualified     # ⛹🏼‍♂️ E4.0 man bouncing ball: medium-light skin tone
26F9 1F3FC 200D 2642                                   ; minimally-qualified # ⛹🏼‍♂ E4.0 man bouncing ball: medium-light skin tone
26F9 1F3FD 200D 2642 FE0F                              ; fully-qualified     # ⛹🏽‍♂️ E4.0 man bouncing ball: medium skin tone
26F9 1F3FD 200D 2642                                   ; minimally-qualified # ⛹🏽‍♂ E4.0 man bouncing ball: medium skin tone
26F9 1F3FE 200D 2642 FE0F                              ; fully-qualified     # ⛹🏾‍♂️ E4.0 man bouncing ball: medium-dark skin tone
26F9 1F3FE 200D 2642                                   ; minimally-qualified # ⛹🏾‍♂ E4.0 man bouncing ball: medium-dark skin tone
26F9 1F3FF 200D 2642 FE0F                              ; fully-qualified     # ⛹🏿‍♂️ E4.0 man bouncing ball: dark skin tone
26F9 1F3FF 200D 2642                                   ; minimally-qualified # ⛹🏿‍♂ E4.0 man bouncing ball: dark skin tone
26F9 FE0F 200D 2640 FE0F                               ; fully-qualified     # ⛹️‍♀️ E4.0 woman bouncing ball
26F9 200D 2640 FE0F                                    ; unqualified         # ⛹‍♀️ E4.0 woman bouncing ball
26F9 FE0F 200D 2640                                    ; minimally-qualified # ⛹️‍♀ E4.0 woman bouncing ball
26F9 200D 2640                                         ; unqualified         # ⛹‍♀ E4.0 woman bouncing ball
26F9 1F3FB 200D 2640 FE0F                              ; fully-qualified     # ⛹🏻‍♀️ E4.0 woman bouncing ball: light skin tone
26F9 1F3FB 200D 2640                                   ; minimally-qualified # ⛹🏻‍♀ E4.0 woman bouncing ball: light skin tone
26F9 1F3FC 200D 2640 FE0F                              ; fully-qualified     # ⛹🏼‍♀️ E4.0 woman bouncing ball: medium-light skin tone
26F9 1F3FC 200D 2640                                   ; minimally-qualified # ⛹🏼‍♀ E4.0 woman bouncing ball: medium-light skin tone
26F9 1F3FD 200D 2640 FE0F                              ; fully-qualified     # ⛹🏽‍♀️ E4.0 woman bouncing ball: medium skin tone
26F9 1F3FD 200D 2640                                   ; minimally-qualified # ⛹🏽‍♀ E4.0 woman bouncing ball: medium skin tone
26F9 1F3FE 200D 2640 FE0F                              ; fully-qualified     # ⛹🏾‍♀️ E4.0 woman bouncing ball: medium-dark skin tone
26F9 1F3FE 200D 2640                                   ; minimally-qualified # ⛹🏾‍♀ E4.0 woman bouncing ball: medium-dark skin tone
26F9 1F3FF 200D 2640 FE0F                              ; fully-qualified     # ⛹🏿‍♀️ E4.0 woman bouncing ball: dark skin tone
26F9 1F3FF 200D 2640                                   ; minimally-qualified # ⛹🏿‍♀ E4.0 woman bouncing ball: dark skin tone
1F3CB FE0F                                             ; fully-qualified     # 🏋️ E0.7 person lifting weights
1F3CB                                                  ; unqualified         # 🏋 E0.7 person lifting weights
1F3CB 1F3FB                                            ; fully-qualified     # 🏋🏻 E2.0 person lifting weights: light skin tone
1F3CB 1F3FC                                            ; fully-qualified     # 🏋🏼 E2.0 person lifting weights: medium-light skin tone
1F3CB 1F3FD                                            ; fully-qualified     # 🏋🏽 E2.0 person lifting weights: medium skin tone
1F3CB 1F3FE                                            ; fully-qualified     # 🏋🏾 E2.0 person lifting weights: medium-dark skin tone
1F3CB 1F3FF                                            ; fully-qualified     # 🏋🏿 E2.0 person lifting weights: dark skin tone
1F3CB FE0F 200D 2642 FE0F                              ; fully-qualified     # 🏋️‍♂️ E4.0 man lifting weights
1F3CB 200D 2642 FE0F                                   ; unqualified         # 🏋‍♂️ E4.0 man lifting weights
1F3CB FE0F 200D 2642                                   ; minimally-qualified # 🏋️‍♂ E4.0 man lifting weights
1F3CB 200D 2642                                        ; unqualified         # 🏋‍♂ E4.0 man lifting weights
1F3CB 1F3FB 200D 2642 FE0F                             ; fully-qualified     # 🏋🏻‍♂️ E4.0 man lifting weights: light skin tone
1F3CB 1F3FB 200D 2642                                  ; minimally-qualified # 🏋🏻‍♂ E4.0 man lifting weights: light skin tone
1F3CB 1F3FC 200D 2642 FE0F                             ; fully-qualified     # 🏋🏼‍♂️ E4.0 man lifting weights: medium-light skin tone
1F3CB 1F3FC 200D 2642                                  ; minimally-qualified # 🏋🏼‍♂ E4.0 man lifting weights: medium-light skin tone
1F3CB 1F3FD 200D 2642 FE0F                             ; fully-qualified     # 🏋🏽‍♂️ E4.0 man lifting weights: medium skin tone
1F3CB 1F3FD 200D 2642                                  ; minimally-qualified # 🏋🏽‍♂ E4.0 man lifting weights: medium skin tone
1F3CB 1F3FE 200D 2642 FE0F                             ; fully-qualified     # 🏋🏾‍♂️ E4.0 man lifting weights: medium-dark skin tone
1F3CB 1F3FE 200D 2642                                  ; minimally-qualified # 🏋🏾‍♂ E4.0 man lifting weights: medium-dark skin tone
1F3CB 1F3FF 200D 2642 FE0F                             ; fully-qualified     # 🏋🏿‍♂️ E4.0 man lifting weights: dark skin tone
1F3CB 1F3FF 200D 2642                                  ; minimally-qualified # 🏋🏿‍♂ E4.0 man lifting weights: dark skin tone
1F3CB FE0F 200D 2640 FE0F                              ; fully-qualified     # 🏋️‍♀️ E4.0 woman lifting weights
1F3CB 200D 2640 FE0F                                   ; unqualified         # 🏋‍♀️ E4.0 woman lifting weights
1F3CB FE0F 200D 2640                                   ; minimally-qualified # 🏋️‍♀ E4.0 woman lifting weights
1F3CB 200D 2640                                        ; unqualified         # 🏋‍♀ E4.0 woman lifting weights
1F3CB 1F3FB 200D 2640 FE0F                             ; fully-qualified     # 🏋🏻‍♀️ E4.0 woman lifting weights: light skin tone
1F3CB 1F3FB 200D 2640                                  ; minimally-qualified # 🏋🏻‍♀ E4.0 woman lifting weights: light skin tone
1F3CB 1F3FC 200D 2640 FE0F                             ; fully-qualified     # 🏋🏼‍♀️ E4.0 woman lifting weights: medium-light skin tone
1F3CB 1F3FC 200D 2640                                  ; minimally-qualified # 🏋🏼‍♀ E4.0 woman lifting weights: medium-light skin tone
1F3CB 1F3FD 200D 2640 FE0F                             ; fully-qualified     # 🏋🏽‍♀️ E4.0 woman lifting weights: medium skin tone
1F3CB 1F3FD 200D 2640                                  ; minimally-qualified # 🏋🏽‍♀ E4.0 woman lifting weights: medium skin tone
1F3CB 1F3FE 200D 2640 FE0F                             ; fully-qualified     # 🏋🏾‍♀️ E4.0 woman lifting weights: medium-dark skin tone
1F3CB 1F3FE 200D 2640                                  ; minimally-qualified # 🏋🏾‍♀ E4.0 woman lifting weights: medium-dark skin tone
1F3CB 1F3FF 200D 2640 FE0F                             ; fully-qualified     # 🏋🏿‍♀️ E4.0 woman lifting weights: dark skin tone
1F3CB 1F3FF 200D 2640                                  ; minimally-qualified # 🏋🏿‍♀ E4.0 woman lifting weights: dark skin tone

1F5E3 FE0F                                             ; fully-qualified     # 🗣️ E0.7 speaking head
1F5E3                                                  ; unqualified         # 🗣 E0.7 speaking head

1F43F FE0F                                             ; fully-qualified     # 🐿️ E0.7 chipmunk
1F43F                                                  ; unqualified         # 🐿 E0.7 chipmunk

1F54A FE0F                                             ; fully-qualified     # 🕊️ E0.7 dove
1F54A                                                  ; unqualified         # 🕊 E0.7 dove

1F577 FE0F                                             ; fully-qualified     # 🕷️ E0.7 spider
1F577                                                  ; unqualified         # 🕷 E0.7 spider
1F578 FE0F                                             ; fully-qualified     # 🕸️ E0.7 spider web
1F578                                                  ; unqualified         # 🕸 E0.7 spider web

1F3F5 FE0F                                             ; fully-qualified     # 🏵️ E0.7 rosette
1F3F5                                                  ; unqualified         # 🏵 E0.7 rosette

2618 FE0F                                              ; fully-qualified     # ☘️ E1.0 shamrock
2618                                                   ; unqualified         # ☘ E1.0 shamrock

1F336 FE0F                                             ; fully-qualified     # 🌶️ E0.7 hot pepper
1F336                                                  ; unqualified         # 🌶 E0.7 hot pepper

1F37D FE0F                                             ; fully-qualified     # 🍽️ E0.7 fork and knife with plate
1F37D                                                  ; unqualified         # 🍽 E0.7 fork and knife with plate

1F5FA FE0F                                             ; fully-qualified     # 🗺️ E0.7 world map
1F5FA                                                  ; unqualified         # 🗺 E0.7 world map

1F3D4 FE0F                                             ; fully-qualified     # 🏔️ E0.7 snow-capped mountain
1F3D4                                                  ; unqualified         # 🏔 E0.7 snow-capped mountain
26F0 FE0F                                              ; fully-qualified     # ⛰️ E0.7 mountain
26F0                                                   ; unqualified         # ⛰ E0.7 mountain
1F3D5 FE0F                                             ; fully-qualified     # 🏕️ E0.7 camping
1F3D5                                                  ; unqualified         # 🏕 E0.7 camping
1F3D6 FE0F                                             ; fully-qualified     # 🏖️ E0.7 beach with umbrella
1F3D6                                                  ; unqualified         # 🏖 E0.7 beach with umbrella
1F3DC FE0F                                             ; fully-qualified     # 🏜️ E0.7 desert
1F3DC                                                  ; unqualified         # 🏜 E0.7 desert
1F3DD FE0F                                             ; fully-qualified     # 🏝️ E0.7 desert island
1F3DD                                                  ; unqualified         # 🏝 E0.7 desert island
1F3DE FE0F                                             ; fully-qualified     # 🏞️ E0.7 national park
1F3DE                                                  ; unqualified         # 🏞 E0.7 national park

1F3DF FE0F                                             ; fully-qualified     # 🏟️ E0.7 stadium
1F3DF                                                  ; unqualified         # 🏟 E0.7 stadium
1F3DB FE0F                                             ; fully-qualified     # 🏛️ E0.7 classical building
1F3DB                                                  ; unqualified         # 🏛 E0.7 classical building
1F3D7 FE0F                                             ; fully-qualified     # 🏗️ E0.7 building construction
1F3D7                                                  ; unqualified         # 🏗 E0.7 building construction
1F3D8 FE0F                                             ; fully-qualified     # 🏘️ E0.7 houses
1F3D8                                                  ; unqualified         # 🏘 E0.7 houses
1F3DA FE0F                                             ; fully-qualified     # 🏚️ E0.7 derelict house
1F3DA                                                  ; unqualified         # 🏚 E0.7 derelict house

26E9 FE0F                                              ; fully-qualified     # ⛩️ E0.7 shinto shrine
26E9                                                   ; unqualified         # ⛩ E0.7 shinto shrine

1F3D9 FE0F                                             ; fully-qualified     # 🏙️ E0.7 cityscape
1F3D9                                                  ; unqualified         # 🏙 E0.7 cityscape
2668 FE0F                                              ; fully-qualified     # ♨️ E0.6 hot springs
2668                                                   ; unqualified         # ♨ E0.6 hot springs

1F3CE FE0F                                             ; fully-qualified     # 🏎️ E0.7 racing car
1F3CE                                                  ; unqualified         # 🏎 E0.7 racing car
1F3CD FE0F                                             ; fully-qualified     # 🏍️ E0.7 motorcycle
1F3CD                                                  ; unqualified         # 🏍 E0.7 motorcycle
1F6E3 FE0F                                             ; fully-qualified     # 🛣️ E0.7 motorway
1F6E3                                                  ; unqualified         # 🛣 E0.7 motorway
1F6E4 FE0F                                             ; fully-qualified     # 🛤️ E0.7 railway track
1F6E4                                                  ; unqualified         # 🛤 E0.7 railway track
1F6E2 FE0F                                             ; fully-qualified     # 🛢️ E0.7 oil drum
1F6E2                                                  ; unqualified         # 🛢 E0.7 oil drum

1F6F3 FE0F                                             ; fully-qualified     # 🛳️ E0.7 passenger ship
1F6F3                                                  ; unqualified         # 🛳 E0.7 passenger ship
26F4 FE0F                                              ; fully-qualified     # ⛴️ E0.7 ferry
26F4                                                   ; unqualified         # ⛴ E0.7 ferry
1F6E5 FE0F                                             ; fully-qualified     # 🛥️ E0.7 motor boat
1F6E5                                                  ; unqualified         # 🛥 E0.7 motor boat

2708 FE0F                                              ; fully-qualified     # ✈️ E0.6 airplane
2708                                                   ; unqualified         # ✈ E0.6 airplane
1F6E9 FE0F                                             ; fully-qualified     # 🛩️ E0.7 small airplane
1F6E9                                                  ; unqualified         # 🛩 E0.7 small airplane
1F6F0 FE0F                                             ; fully-qualified     # 🛰️ E0.7 satellite
1F6F0                                                  ; unqualified         # 🛰 E0.7 satellite

1F6CE FE0F                                             ; fully-qualified     # 🛎️ E0.7 bellhop bell
1F6CE                                                  ; unqualified         # 🛎 E0.7 bellhop bell

23F1 FE0F                                              ; fully-qualified     # ⏱️ E1.0 stopwatch
23F1                                                   ; unqualified         # ⏱ E1.0 stopwatch
23F2 FE0F                                              ; fully-qualified     # ⏲️ E1.0 timer clock
23F2                                                   ; unqualified         # ⏲ E1.0 timer clock
1F570 FE0F                                             ; fully-qualified     # 🕰️ E0.7 mantelpiece clock
1F570                                                  ; unqualified         # 🕰 E0.7 mantelpiece clock

1F321 FE0F                                             ; fully-qualified     # 🌡️ E0.7 thermometer
1F321                                                  ; unqualified         # 🌡 E0.7 thermometer
2600 FE0F                                              ; fully-qualified     # ☀️ E0.6 sun
2600                                                   ; unqualified         # ☀ E0.6 sun
2601 FE0F                                              ; fully-qualified     # ☁️ E0.6 cloud
2601                                                   ; unqualified         # ☁ E0.6 cloud
26C8 FE0F                                              ; fully-qualified     # ⛈️ E0.7 cloud with lightning and rain
26C8                                                   ; unqualified         # ⛈ E0.7 cloud with lightning and rain
1F324 FE0F                                             ; fully-qualified     # 🌤️ E0.7 sun behind small cloud
